valid_days,mean_topk_return,median_topk_return,mean_topk_alpha,topk_win_rate,max_drawdown,rank_ic_mean,rank_ic_std,rank_ic_ir,risk_power,fold,train_fraction,train_rows,valid_rows,train_start,train_end,valid_start,valid_end
40,0.011894414324978543,0.012309204112934317,0.007462566592991724,0.575,-0.26467575808675103,0.008580879375380896,0.21277151783021628,0.04032907911193164,0.0,1,0.7,119090,12000,2024-01-02,2025-08-25,2025-08-26,2025-10-28
40,0.00818314459494478,0.006035081939378023,0.0037512968629579576,0.625,-0.0960948649621246,-0.008352134487477044,0.2166998341597122,-0.038542412917966555,0.25,1,0.7,119090,12000,2024-01-02,2025-08-25,2025-08-26,2025-10-28
40,0.0007150558196089278,0.0029547456209208893,-0.003716791912377895,0.525,-0.1289415710598929,-0.028596854121083086,0.248684830732996,-0.11499235412421079,0.5,1,0.7,119090,12000,2024-01-02,2025-08-25,2025-08-26,2025-10-28
40,0.0006880994069945144,0.00040431899042419256,-0.00374374832499231,0.5,-0.12493144218561225,-0.03653662724085612,0.26337490001864566,-0.13872478826999377,0.75,1,0.7,119090,12000,2024-01-02,2025-08-25,2025-08-26,2025-10-28
40,-0.00023596292381027965,0.0006409148511543024,-0.004667810655797104,0.5,-0.12819213706869192,-0.04092057984476769,0.27147849219901027,-0.15073230852711414,1.0,1,0.7,119090,12000,2024-01-02,2025-08-25,2025-08-26,2025-10-28
40,0.0014344679972391702,0.0012388346119081664,0.0030054594058173774,0.55,-0.14739917659415513,0.009856340423515107,0.21597324404097595,0.045636858710144,0.0,2,0.75,127490,12000,2024-01-02,2025-10-10,2025-10-13,2025-12-05
40,-0.0016884578197625664,-0.00363791297610594,-0.00011746641118435854,0.45,-0.10886051549370201,0.03187897167636922,0.2834285596525714,0.11247621522451441,0.25,2,0.75,127490,12000,2024-01-02,2025-10-10,2025-10-13,2025-12-05
40,-0.002164528913869138,-0.0010831052258618724,-0.0005935375052909307,0.475,-0.1265653436400409,0.043994780785407785,0.2951079036906822,0.14908032023219517,0.5,2,0.75,127490,12000,2024-01-02,2025-10-10,2025-10-13,2025-12-05
40,-0.002104525995106441,-0.00117071557746705,-0.0005335345865282333,0.475,-0.12899298504142054,0.04741682270571829,0.29911555800534495,0.15852342493235497,0.75,2,0.75,127490,12000,2024-01-02,2025-10-10,2025-10-13,2025-12-05
40,-0.002582755856464643,-0.005476874441643744,-0.0010117644478864353,0.425,-0.12521657218809334,0.048745149810638835,0.300993112408177,0.16194772505084287,1.0,2,0.75,127490,12000,2024-01-02,2025-10-10,2025-10-13,2025-12-05
40,0.0035830086150778007,-0.0026165142784987075,-0.0034308777796998244,0.425,-0.1571553669611636,-0.006981765922270853,0.19675106222394595,-0.03548527689415259,0.0,3,0.8,136190,12000,2024-01-02,2025-11-20,2025-11-21,2026-01-19
40,-0.0048508927430542005,-0.005768965035314707,-0.011864779137831825,0.375,-0.1815809325480744,-0.0984050695420502,0.20078671380190397,-0.4900975153099346,0.25,3,0.8,136190,12000,2024-01-02,2025-11-20,2025-11-21,2026-01-19
40,-0.003677340109617652,-0.0033855953592622614,-0.010691226504395277,0.375,-0.15593567691622823,-0.12257122750353196,0.20903319136585255,-0.5863720814003163,0.5,3,0.8,136190,12000,2024-01-02,2025-11-20,2025-11-21,2026-01-19
40,-0.004038951555408022,-0.004220162192216556,-0.011052837950185648,0.35,-0.1630704197775391,-0.1293459606274875,0.21131224600542647,-0.6121082098741868,0.75,3,0.8,136190,12000,2024-01-02,2025-11-20,2025-11-21,2026-01-19
40,-0.00412391602519058,-0.004220162192216556,-0.011137802419968205,0.35,-0.16336469575859602,-0.1315276176481933,0.21249480667724255,-0.6189686218889625,1.0,3,0.8,136190,12000,2024-01-02,2025-11-20,2025-11-21,2026-01-19
40,0.004687600525533961,0.0020412874180282523,0.0024446997198165617,0.6,-0.16057213652020685,0.029981994273558178,0.17100792878065943,0.1753251705179049,0.0,4,0.85,144590,12000,2024-01-02,2025-12-30,2025-12-31,2026-03-06
40,0.0011906740031016566,-0.004108329963726119,-0.0010522268026157428,0.4,-0.19112939750710412,0.03960598869110814,0.19297539331722963,0.20523854368207015,0.25,4,0.85,144590,12000,2024-01-02,2025-12-30,2025-12-31,2026-03-06
40,-0.0011831742536637356,-0.004104634697360736,-0.0034260750593811348,0.425,-0.17751308390803755,0.03114153849868272,0.2101204773727893,0.14820801326890262,0.5,4,0.85,144590,12000,2024-01-02,2025-12-30,2025-12-31,2026-03-06
40,-0.0014170741756091211,-0.004104634697360736,-0.0036599749813265208,0.425,-0.1841856348711427,0.027364492193851196,0.21816121174629224,0.12543243583350164,0.75,4,0.85,144590,12000,2024-01-02,2025-12-30,2025-12-31,2026-03-06
40,-0.0017271012684728086,-0.004104634697360736,-0.003970002074190208,0.4,-0.19348705623824147,0.025192559048771303,0.22160557228906852,0.11368197463823582,1.0,4,0.85,144590,12000,2024-01-02,2025-12-30,2025-12-31,2026-03-06
40,0.008920804932799457,0.012700984138406958,0.010740819429285241,0.65,-0.26210651375718796,0.055428791300301615,0.2069327837023147,0.26785891683442203,0.0,5,0.9,153290,12000,2024-01-02,2026-02-11,2026-02-12,2026-04-17
40,0.0019289122801941644,0.0015312959520434222,0.0037489267766799505,0.525,-0.1786910602089693,0.09487916061473148,0.18150434569951784,0.5227376801836033,0.25,5,0.9,153290,12000,2024-01-02,2026-02-11,2026-02-12,2026-04-17
40,0.0008242941676146209,0.001155123553921086,0.002644308664100407,0.525,-0.20981938418803991,0.06496593839494003,0.20935819158934169,0.3103099902680717,0.5,5,0.9,153290,12000,2024-01-02,2026-02-11,2026-02-12,2026-04-17
40,-0.00019833615956183019,1.7654670021124768e-05,0.001621678336923956,0.5,-0.195579134563858,0.05473269971458492,0.226871526415472,0.2412497530170937,0.75,5,0.9,153290,12000,2024-01-02,2026-02-11,2026-02-12,2026-04-17
40,-0.00037486736464645087,0.001155123553921086,0.001445147131839335,0.525,-0.20436893754108132,0.05011522665104963,0.23538251125013535,0.21290972886928064,1.0,5,0.9,153290,12000,2024-01-02,2026-02-11,2026-02-12,2026-04-17
